"id","task","option","sens_89","sens_94","spec_89","spec_94","rad_part","rad_all","evid_rct","evid_both","tran_part","tran_full","repr_med","repr_high","choice","optout","practice_years","female","indid","midwest","northeast","south","urban","tech_negative","rad_contact_med_high","rad_trust_mod_high"
1,1,1,-1,-1,0,1,0,1,0,1,0,1,-1,-1,1,-1,2,1,1,0,0,0,0,0,1,1
1,1,2,0,1,-1,-1,1,0,1,0,1,0,1,0,0,-1,2,1,1,0,0,0,0,0,1,1
1,1,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,1
1,2,1,0,1,-1,-1,1,0,0,1,-1,-1,0,1,1,-1,2,1,2,0,0,0,0,0,1,1
1,2,2,1,0,1,0,-1,-1,1,0,1,0,1,0,0,-1,2,1,2,0,0,0,0,0,1,1
1,2,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,1
1,3,1,0,1,1,0,0,1,0,1,1,0,-1,-1,0,-1,2,1,3,0,0,0,0,0,1,1
1,3,2,-1,-1,0,1,1,0,1,0,-1,-1,0,1,0,-1,2,1,3,0,0,0,0,0,1,1
1,3,3,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,0,1,1
1,4,1,-1,-1,1,0,-1,-1,0,1,-1,-1,1,0,0,-1,2,1,4,0,0,0,0,0,1,1
1,4,2,1,0,0,1,0,1,1,0,0,1,0,1,1,-1,2,1,4,0,0,0,0,0,1,1
1,4,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,0,0,0,0,1,1
1,5,1,1,0,-1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,2,1,5,0,0,0,0,0,1,1
1,5,2,0,1,0,1,-1,-1,0,1,-1,-1,0,1,0,-1,2,1,5,0,0,0,0,0,1,1
1,5,3,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,5,0,0,0,0,0,1,1
1,6,1,-1,-1,1,0,1,0,1,0,0,1,-1,-1,1,-1,2,1,6,0,0,0,0,0,1,1
1,6,2,1,0,-1,-1,0,1,-1,-1,-1,-1,0,1,0,-1,2,1,6,0,0,0,0,0,1,1
1,6,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,6,0,0,0,0,0,1,1
1,7,1,1,0,-1,-1,1,0,0,1,1,0,-1,-1,0,-1,2,1,7,0,0,0,0,0,1,1
1,7,2,0,1,1,0,0,1,-1,-1,0,1,1,0,1,-1,2,1,7,0,0,0,0,0,1,1
1,7,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,0,0,0,0,1,1
1,8,1,0,1,-1,-1,-1,-1,1,0,0,1,-1,-1,0,-1,2,1,8,0,0,0,0,0,1,1
1,8,2,1,0,0,1,1,0,0,1,1,0,1,0,1,-1,2,1,8,0,0,0,0,0,1,1
1,8,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,8,0,0,0,0,0,1,1
1,9,1,-1,-1,-1,-1,0,1,0,1,0,1,0,1,0,-1,2,1,9,0,0,0,0,0,1,1
1,9,2,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,2,1,9,0,0,0,0,0,1,1
1,9,3,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,9,0,0,0,0,0,1,1
1,10,1,1,0,1,0,0,1,1,0,-1,-1,1,0,1,-1,2,1,10,0,0,0,0,0,1,1
1,10,2,0,1,0,1,-1,-1,-1,-1,1,0,0,1,0,-1,2,1,10,0,0,0,0,0,1,1
1,10,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,10,0,0,0,0,0,1,1
1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,0,0,-1,2,1,11,0,0,0,0,0,1,1
1,11,2,0,1,1,0,1,0,1,0,-1,-1,-1,-1,1,-1,2,1,11,0,0,0,0,0,1,1
1,11,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,11,0,0,0,0,0,1,1
1,12,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,2,1,12,0,0,0,0,0,1,1
1,12,2,1,0,1,0,-1,-1,0,1,0,1,0,1,1,-1,2,1,12,0,0,0,0,0,1,1
1,12,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,12,0,0,0,0,0,1,1
1,13,1,1,0,1,0,1,0,-1,-1,-1,-1,0,1,0,-1,2,1,13,0,0,0,0,0,1,1
1,13,2,0,1,0,1,0,1,1,0,1,0,1,0,1,-1,2,1,13,0,0,0,0,0,1,1
1,13,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,13,0,0,0,0,0,1,1
1,14,1,-1,-1,-1,-1,-1,-1,1,0,1,0,0,1,0,-1,2,1,14,0,0,0,0,0,1,1
1,14,2,0,1,0,1,1,0,-1,-1,0,1,1,0,1,-1,2,1,14,0,0,0,0,0,1,1
1,14,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,14,0,0,0,0,0,1,1
1,15,1,1,0,-1,-1,-1,-1,0,1,0,1,1,0,0,-1,2,1,15,0,0,0,0,0,1,1
1,15,2,-1,-1,1,0,0,1,-1,-1,1,0,0,1,1,-1,2,1,15,0,0,0,0,0,1,1
1,15,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,15,0,0,0,0,0,1,1
2,1,1,-1,-1,0,1,0,1,0,1,0,1,-1,-1,1,-1,7,0,16,0,0,0,0,0,0,1
2,1,2,0,1,-1,-1,1,0,1,0,1,0,1,0,0,-1,7,0,16,0,0,0,0,0,0,1
2,1,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,16,0,0,0,0,0,0,1
2,2,1,0,1,-1,-1,1,0,0,1,-1,-1,0,1,1,-1,7,0,17,0,0,0,0,0,0,1
2,2,2,1,0,1,0,-1,-1,1,0,1,0,1,0,0,-1,7,0,17,0,0,0,0,0,0,1
2,2,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,17,0,0,0,0,0,0,1
2,3,1,0,1,1,0,0,1,0,1,1,0,-1,-1,1,-1,7,0,18,0,0,0,0,0,0,1
2,3,2,-1,-1,0,1,1,0,1,0,-1,-1,0,1,0,-1,7,0,18,0,0,0,0,0,0,1
2,3,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,18,0,0,0,0,0,0,1
2,4,1,-1,-1,1,0,-1,-1,0,1,-1,-1,1,0,0,-1,7,0,19,0,0,0,0,0,0,1
2,4,2,1,0,0,1,0,1,1,0,0,1,0,1,1,-1,7,0,19,0,0,0,0,0,0,1
2,4,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,19,0,0,0,0,0,0,1
2,5,1,1,0,-1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,7,0,20,0,0,0,0,0,0,1
2,5,2,0,1,0,1,-1,-1,0,1,-1,-1,0,1,1,-1,7,0,20,0,0,0,0,0,0,1
2,5,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,20,0,0,0,0,0,0,1
2,6,1,-1,-1,1,0,1,0,1,0,0,1,-1,-1,0,-1,7,0,21,0,0,0,0,0,0,1
2,6,2,1,0,-1,-1,0,1,-1,-1,-1,-1,0,1,0,-1,7,0,21,0,0,0,0,0,0,1
2,6,3,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,7,0,21,0,0,0,0,0,0,1
2,7,1,1,0,-1,-1,1,0,0,1,1,0,-1,-1,1,-1,7,0,22,0,0,0,0,0,0,1
2,7,2,0,1,1,0,0,1,-1,-1,0,1,1,0,0,-1,7,0,22,0,0,0,0,0,0,1
2,7,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,22,0,0,0,0,0,0,1
2,8,1,0,1,-1,-1,-1,-1,1,0,0,1,-1,-1,1,-1,7,0,23,0,0,0,0,0,0,1
2,8,2,1,0,0,1,1,0,0,1,1,0,1,0,0,-1,7,0,23,0,0,0,0,0,0,1
2,8,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,23,0,0,0,0,0,0,1
2,9,1,-1,-1,-1,-1,0,1,0,1,0,1,0,1,0,-1,7,0,24,0,0,0,0,0,0,1
2,9,2,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,7,0,24,0,0,0,0,0,0,1
2,9,3,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,7,0,24,0,0,0,0,0,0,1
2,10,1,1,0,1,0,0,1,1,0,-1,-1,1,0,1,-1,7,0,25,0,0,0,0,0,0,1
2,10,2,0,1,0,1,-1,-1,-1,-1,1,0,0,1,0,-1,7,0,25,0,0,0,0,0,0,1
2,10,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,25,0,0,0,0,0,0,1
2,11,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,0,0,-1,7,0,26,0,0,0,0,0,0,1
2,11,2,0,1,1,0,1,0,1,0,-1,-1,-1,-1,1,-1,7,0,26,0,0,0,0,0,0,1
2,11,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,26,0,0,0,0,0,0,1
2,12,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,7,0,27,0,0,0,0,0,0,1
2,12,2,1,0,1,0,-1,-1,0,1,0,1,0,1,1,-1,7,0,27,0,0,0,0,0,0,1
2,12,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,27,0,0,0,0,0,0,1
2,13,1,1,0,1,0,1,0,-1,-1,-1,-1,0,1,0,-1,7,0,28,0,0,0,0,0,0,1
2,13,2,0,1,0,1,0,1,1,0,1,0,1,0,1,-1,7,0,28,0,0,0,0,0,0,1
